name,id,max_float,min_float,crates,rarity,weapon,stattrack,collections
★ Hand Wraps | Spruce DDPAT,skin-e757fd7191f9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Hand Wraps,False,[]
★ Moto Gloves | 3rd Commando Company,skin-5cbc5bc584a3,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Spearmint,skin-a363d8de9765,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Boom!,skin-b3e2c06aad05,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Smoke Out,skin-0ab789f2f54c,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Cool Mint,skin-510d868c343b,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Polygon,skin-bfd054b9c87b,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Moto Gloves,False,[]
★ Moto Gloves | Transport,skin-27fbe222018d,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Moto Gloves,False,[]
★ Driver Gloves | Lunar Weave,skin-e8384ee7aa31,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Snow Leopard,skin-30ad2640a228,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Queen Jaguar,skin-5410329f8334,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Convoy,skin-6875abfca574,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Imperial Plaid,skin-7b51c8bd957b,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Crimson Weave,skin-941014ee5a6e,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Rezan the Red,skin-3344646c8178,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | King Snake,skin-ead101bfb2c9,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Diamondback,skin-52a9a70cdd76,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Overtake,skin-56be8a3a2bb8,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Black Tie,skin-31ec4a2f49a1,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Driver Gloves,False,[]
★ Driver Gloves | Racing Green,skin-5e8f5f1fecb1,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Driver Gloves,False,[]
★ Specialist Gloves | Forest DDPAT,skin-fabc9079a914,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Emerald Web,skin-844038d20265,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Fade,skin-25bbf8e641c1,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Field Agent,skin-b98ee789cd59,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Buckshot,skin-b6c2f9e4afaa,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Crimson Kimono,skin-5766610447f3,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Marble Fade,skin-cc333ec05de7,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Foundation,skin-d0749a0d812b,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Lt. Commander,skin-fa577b9fd717,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Tiger Strike,skin-be400920aea9,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Crimson Web,skin-560640de154c,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Specialist Gloves,False,[]
★ Specialist Gloves | Mogul,skin-3b7b8a6e12a6,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Specialist Gloves,False,[]
★ Sport Gloves | Omega,skin-b06ecb36172b,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Vice,skin-c1ae7186f829,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Hedge Maze,skin-b05ee2bf4f0d,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Scarlet Shamagh,skin-35e39e9a94b1,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Big Game,skin-b75169b00be8,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Nocts,skin-9918998292c5,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Superconductor,skin-562a47f22d9c,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Arid,skin-96fe89fd41f9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Amphibious,skin-e2344261c5cb,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Bronze Morph,skin-24bd5ece81d7,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Pandora's Box,skin-e506270deff6,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Sport Gloves,False,[]
★ Sport Gloves | Slingshot,skin-41eeda7bb735,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Sport Gloves,False,[]
★ Bloodhound Gloves | Charred,skin-c9241d03e33b,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Bloodhound Gloves,False,[]
★ Bloodhound Gloves | Guerrilla,skin-cd619968abb9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Bloodhound Gloves,False,[]
★ Bloodhound Gloves | Bronzed,skin-4e17d497a43e,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Bloodhound Gloves,False,[]
★ Bloodhound Gloves | Snakebite,skin-de7d4238a5c9,0.8,0.06,"['crate-4288', 'crate-4352']",Extraordinary,Bloodhound Gloves,False,[]
★ Broken Fang Gloves | Needle Point,skin-a371f5d8dddc,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Broken Fang Gloves,False,[]
★ Broken Fang Gloves | Jade,skin-82516a2fa315,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Broken Fang Gloves,False,[]
★ Broken Fang Gloves | Yellow-banded,skin-ac0c22b15c7c,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Broken Fang Gloves,False,[]
★ Broken Fang Gloves | Unhinged,skin-27555a08b61e,0.8,0.06,"['crate-4717', 'crate-4747', 'crate-4846']",Extraordinary,Broken Fang Gloves,False,[]
★ Hydra Gloves | Emerald,skin-76266354fa03,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hydra Gloves,False,[]
★ Hydra Gloves | Case Hardened,skin-e8fa9ecb2fbe,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hydra Gloves,False,[]
★ Hydra Gloves | Mangrove,skin-530add68f13a,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hydra Gloves,False,[]
★ Hydra Gloves | Rattler,skin-fb73d424e4dd,0.8,0.06,"['crate-4471', 'crate-4880']",Extraordinary,Hydra Gloves,False,[]
AK-47 | Searing Rage,skin-4c2e3face5fd,1.0,0.0,['crate-7007'],Classified,AK-47,True,['The Fever Collection']
AK-47 | The Oligarch,skin-4608abab8351,1.0,0.0,['crate-5176'],Covert,AK-47,True,['The Genesis Collection']
AK-47 | The Outsiders,skin-ad56dc47a4c4,0.9,0.0,['crate-7003'],Classified,AK-47,True,['The Gallery Collection']
AK-47 | Inheritance,skin-82dc98e09ba6,0.797346,0.0,['crate-4904'],Covert,AK-47,True,['The Kilowatt Collection']
AK-47 | Hydroponic,skin-cde9a27f0dd5,0.8,0.0,[],Classified,AK-47,False,['The Rising Sun Collection']
AK-47 | Cartel,skin-2a8ebacc14e8,0.75,0.0,['crate-4061'],Classified,AK-47,True,['The Chroma Collection']
AK-47 | Case Hardened,skin-5fd3ee42a6c4,1.0,0.0,['crate-4001'],Classified,AK-47,True,['The Arms Deal Collection']
AK-47 | Phantom Disruptor,skin-45686ca4a063,0.65,0.0,['crate-4695'],Classified,AK-47,True,['The Prisma 2 Collection']
AK-47 | Neon Revolution,skin-1a5e885d9d28,0.8,0.0,['crate-4281'],Covert,AK-47,True,['The Gamma 2 Collection']
AK-47 | Legion of Anubis,skin-dfd42a079f44,0.7000000000000001,0.0,['crate-4698'],Covert,AK-47,True,['The Fracture Collection']
AK-47 | Asiimov,skin-09205674e246,0.7000000000000001,0.05,['crate-4548'],Covert,AK-47,True,['The Danger Zone Collection']
AK-47 | Uncharted,skin-9a7c16468868,0.75,0.0,['crate-4598'],Mil-Spec Grade,AK-47,True,['The Prisma Collection']
AK-47 | Redline,skin-91a429af4a60,0.7000000000000001,0.1,['crate-4011'],Classified,AK-47,True,['The Phoenix Collection']
AK-47 | Ice Coaled,skin-f10cd3871578,0.77,0.0,['crate-4846'],Classified,AK-47,True,['The Recoil Collection']
AK-47 | Aquamarine Revenge,skin-0ffd6029f447,1.0,0.0,['crate-4091'],Covert,AK-47,True,['The Falchion Collection']
AK-47 | Elite Build,skin-ea4e27f0cd16,1.0,0.0,['crate-4089'],Mil-Spec Grade,AK-47,True,['The Chroma 2 Collection']
AK-47 | Nightwish,skin-405f5570d1f6,1.0,0.0,['crate-4818'],Covert,AK-47,True,['The Dreams & Nightmares Collection']
AK-47 | Point Disarray,skin-28b915dc6c9c,0.67,0.0,['crate-4186'],Classified,AK-47,True,['The Revolver Case Collection']
AK-47 | Vulcan,skin-b14c9f234bc5,0.9,0.0,['crate-4017'],Covert,AK-47,True,['The Huntsman Collection']
AK-47 | Frontside Misty,skin-1e9f98a04b79,0.87,0.02,['crate-4138'],Classified,AK-47,True,['The Shadow Collection']
AK-47 | Head Shot,skin-1f95db2031e4,1.0,0.0,['crate-4880'],Covert,AK-47,True,['The Revolution Collection']
AK-47 | Wild Lotus,skin-921a5a81c48a,1.0,0.0,[],Covert,AK-47,False,['The St. Marc Collection']
AK-47 | Panthera onca,skin-2faa35fd1c44,1.0,0.0,"['crate-4813', 'crate-4839', 'crate-4864', 'crate-4897', 'crate-4930', 'crate-4971', 'crate-5124', 'crate-5223']",Classified,AK-47,False,['The Ancient Collection']
AK-47 | Neon Rider,skin-74e670c4b279,0.8,0.0,['crate-4482'],Covert,AK-47,True,['The Horizon Collection']
AK-47 | X-Ray,skin-354b68a4149b,1.0,0.0,[],Covert,AK-47,False,['The Havoc Collection']
AK-47 | Fire Serpent,skin-2599a8720f89,0.76,0.06,['crate-4003'],Covert,AK-47,True,['The Bravo Collection']
AK-47 | Crossfade,skin-9527d46c449f,0.5,0.0,[],Mil-Spec Grade,AK-47,False,['The Graphic Design Collection']
AK-47 | First Class,skin-37e8f87eff72,1.0,0.0,[],Restricted,AK-47,False,['The Baggage Collection']
AK-47 | B the Monster,skin-16430ed7568b,0.8,0.0,['crate-5221'],Covert,AK-47,False,['The Overpass 2024 Collection']
AK-47 | Jaguar,skin-0827f8a09022,1.0,0.0,['crate-4019'],Covert,AK-47,True,['The eSports 2014 Summer Collection']
AK-47 | Emerald Pinstripe,skin-08d8e5941dfe,1.0,0.0,[],Restricted,AK-47,False,['The Bank Collection']
AK-47 | Wasteland Rebel,skin-ee1ab67b6434,0.7000000000000001,0.05,['crate-4029'],Covert,AK-47,True,['The Vanguard Collection']
AK-47 | Jet Set,skin-2e785b354884,1.0,0.0,[],Classified,AK-47,False,['The Baggage Collection']
AK-47 | Leet Museo,skin-96efe50cceb6,0.65,0.0,['crate-4790'],Covert,AK-47,True,['The Operation Riptide Collection']
AK-47 | Bloodsport,skin-ba052cf18c66,0.45,0.0,['crate-4351'],Covert,AK-47,True,['The Spectrum Collection']
AK-47 | The Empress,skin-1b3ca668024e,1.0,0.0,['crate-4403'],Covert,AK-47,True,['The Spectrum 2 Collection']
AK-47 | Gold Arabesque,skin-58267df1cb9f,0.7000000000000001,0.0,"['crate-4811', 'crate-4837', 'crate-4862', 'crate-4970', 'crate-5123', 'crate-5222']",Covert,AK-47,False,['The 2021 Dust 2 Collection']
AK-47 | Rat Rod,skin-fbda3c593717,1.0,0.0,['crate-4620'],Restricted,AK-47,True,['The Shattered Web Collection']
AK-47 | Slate,skin-48e1c7c5df5e,1.0,0.0,['crate-4747'],Restricted,AK-47,True,['The Snakebite Collection']
AK-47 | Steel Delta,skin-80cb7aad6895,0.73,0.0,"['crate-4882', 'crate-4895', 'crate-4928', 'crate-4969', 'crate-5122']",Mil-Spec Grade,AK-47,False,['The Anubis Collection']
AK-47 | Fuel Injector,skin-8f7564b8b3eb,1.0,0.0,['crate-4187'],Covert,AK-47,True,['The Wildfire Collection']
AK-47 | Orbit Mk01,skin-b54386e7c78c,0.55,0.0,['crate-4352'],Restricted,AK-47,True,['The Operation Hydra Collection']
AK-47 | Aphrodite,skin-9197715f9f3f,1.0,0.0,[],Covert,AK-47,False,['Limited Edition Item']
AK-47 | Olive Polycam,skin-81d44fd69bbd,0.5,0.0,[],Industrial Grade,AK-47,False,['The Sport & Field Collection']
AK-47 | Blue Laminate,skin-1970fa831101,0.4,0.02,['crate-4005'],Restricted,AK-47,True,['The eSports 2013 Winter Collection']
AK-47 | Black Laminate,skin-24736fc09703,0.8,0.06,['crate-4666'],Mil-Spec Grade,AK-47,False,['The Vertigo Collection']
AK-47 | Green Laminate,skin-f4a679a04e0b,0.4,0.02,"['crate-4815', 'crate-4841', 'crate-4866', 'crate-4899', 'crate-4932', 'crate-4973']",Mil-Spec Grade,AK-47,False,['The 2021 Vertigo Collection']
AK-47 | Red Laminate,skin-c9d3fc33bc01,0.8,0.06,['crate-4002'],Classified,AK-47,True,['The eSports 2013 Collection']
AK-47 | Safety Net,skin-d721d2a6a01c,0.6000000000000001,0.0,"['crate-4540', 'crate-4590', 'crate-4660', 'crate-4809', 'crate-4835', 'crate-4860', 'crate-4893', 'crate-4926', 'crate-4967', 'crate-5120', 'crate-5219']",Restricted,AK-47,False,['The 2018 Inferno Collection']
AK-47 | Baroque Purple,skin-bce540e2b4f3,1.0,0.0,[],Industrial Grade,AK-47,False,['The Canals Collection']
AK-47 | Nouveau Rouge,skin-181c7ea71c0b,1.0,0.0,[],Classified,AK-47,False,['The Radiant Collection']
AK-47 | Breakthrough,skin-a92d1a70ebc1,0.75,0.0,[],Restricted,AK-47,False,['The Achroma Collection']
AK-47 | Midnight Laminate,skin-dba8faaa2d7e,0.75,0.0,[],Restricted,AK-47,False,['The Ascent Collection']
AK-47 | Wintergreen,skin-e027a11f0d46,0.75,0.0,[],Mil-Spec Grade,AK-47,False,['The Boreal Collection']
AK-47 | VariCamo Grey,skin-cdb08bfe13d3,0.671875,0.0,[],Industrial Grade,AK-47,False,['The Boreal Collection']
AK-47 | Safari Mesh,skin-430436880a99,0.8,0.06,"['crate-4006', 'crate-4013', 'crate-4022', 'crate-4031', 'crate-4079', 'crate-4131', 'crate-4176', 'crate-4225', 'crate-4274', 'crate-4344', 'crate-4542', 'crate-4592', 'crate-4662']",Industrial Grade,AK-47,False,['The Dust 2 Collection']
AK-47 | Jungle Spray,skin-7bf3e9d7c372,0.8,0.06,[],Industrial Grade,AK-47,False,['The Aztec Collection']
AK-47 | Predator,skin-af287037575b,0.8,0.06,[],Industrial Grade,AK-47,False,['The Dust Collection']
AUG | Amber Fade,skin-dfbb0ed38678,0.4,0.0,[],Mil-Spec Grade,AUG,False,['The 2021 Train Collection']
AUG | Death by Puppy,skin-29ac998e7985,0.4,0.0,['crate-4669'],Classified,AUG,True,['The CS20 Collection']
AUG | Ricochet,skin-ea3ddb4cfeb4,0.8,0.0,['crate-4186'],Mil-Spec Grade,AUG,True,['The Revolver Case Collection']
AUG | Midnight Lily,skin-05b6726350df,0.5,0.0,[],Restricted,AUG,False,['The St. Marc Collection']
AUG | Random Access,skin-8b56130194c8,0.5,0.0,"['crate-4546', 'crate-4596', 'crate-4665', 'crate-4814', 'crate-4840', 'crate-4865', 'crate-4898', 'crate-4931', 'crate-4972', 'crate-5125', 'crate-5224']",Restricted,AUG,False,['The 2018 Nuke Collection']
AUG | Surveillance,skin-06a633fd8293,0.6000000000000001,0.0,[],Consumer Grade,AUG,False,['The Control Collection']
AUG | Carved Jade,skin-07b30f648b35,0.2,0.0,"['crate-4813', 'crate-4839', 'crate-4864', 'crate-4897', 'crate-4930', 'crate-4971', 'crate-5124', 'crate-5223']",Mil-Spec Grade,AUG,False,['The Ancient Collection']
AUG | Flame Jörmungandr,skin-24b4ae2fefde,0.5,0.0,[],Restricted,AUG,False,['The Norse Collection']
AUG | Anodized Navy,skin-9d918c84051e,0.08,0.0,[],Mil-Spec Grade,AUG,False,['The Alpha Collection']
AUG | Hot Rod,skin-25d91e72e4d5,0.08,0.0,[],Mil-Spec Grade,AUG,False,['The Assault Collection']
AUG | Steel Sentinel,skin-6305d7d593bd,1.0,0.0,"['crate-5126', 'crate-5225']",Industrial Grade,AUG,False,['The Train 2025 Collection']
AUG | Luxe Trim,skin-f0c2d895b50d,0.9,0.0,['crate-7003'],Mil-Spec Grade,AUG,True,['The Gallery Collection']
AUG | Trigger Discipline,skin-ab9a15ef8110,1.0,0.0,['crate-5176'],Mil-Spec Grade,AUG,True,['The Genesis Collection']
AUG | Akihabara Accept,skin-6f4ba747e1a4,1.0,0.0,[],Covert,AUG,False,['The Rising Sun Collection']
AUG | Chameleon,skin-370dfd3911e0,0.5,0.0,['crate-4011'],Covert,AUG,True,['The Phoenix Collection']
AUG | Momentum,skin-4280698b46ee,1.0,0.05,['crate-4598'],Classified,AUG,True,['The Prisma Collection']
AUG | Triqua,skin-9ecc088bd04a,1.0,0.0,['crate-4403'],Mil-Spec Grade,AUG,True,['The Spectrum 2 Collection']
AUG | Torque,skin-421b4d58b3c3,0.5,0.0,['crate-4017'],Restricted,AUG,True,['The Huntsman Collection']
AUG | Fleet Flock,skin-cdca99fe25ed,1.0,0.0,['crate-4233'],Classified,AUG,True,['The Chroma 3 Collection']
AUG | Arctic Wolf,skin-11c6b11248f9,0.7000000000000001,0.0,['crate-4620'],Restricted,AUG,True,['The Shattered Web Collection']
AUG | Eye of Zapems,skin-0e56be318449,0.85,0.0,['crate-5221'],Restricted,AUG,False,['The Overpass 2024 Collection']
AUG | Aristocrat,skin-d88fbf7ef8e1,0.66,0.0,['crate-4236'],Restricted,AUG,True,['The Gamma Collection']
AUG | Plague,skin-90b7437c4266,0.76,0.0,['crate-4790'],Mil-Spec Grade,AUG,True,['The Operation Riptide Collection']
AUG | Sand Storm,skin-a848a7d8862e,0.5,0.0,"['crate-4810', 'crate-4836', 'crate-4861', 'crate-4894', 'crate-4927', 'crate-4968', 'crate-5121', 'crate-5220']",Restricted,AUG,False,['The 2021 Mirage Collection']
AUG | Stymphalian,skin-808553c51871,0.63,0.0,['crate-4471'],Classified,AUG,True,['The Clutch Collection']
AUG | Syd Mead,skin-ba00fd57f9ef,0.8,0.0,['crate-4281'],Classified,AUG,True,['The Gamma 2 Collection']
AUG | Tom Cat,skin-42cc631beb8c,0.8,0.0,['crate-4695'],Mil-Spec Grade,AUG,True,['The Prisma 2 Collection']
AUG | Lil' Pig,skin-150eda31902a,0.8,0.0,[],Classified,AUG,False,['The Graphic Design Collection']
AUG | Amber Slipstream,skin-95fae4f18169,0.55,0.0,['crate-4482'],Mil-Spec Grade,AUG,True,['The Horizon Collection']
AUG | Copperhead,skin-e4b705357181,0.38,0.12,[],Mil-Spec Grade,AUG,False,['The Dust Collection']
AUG | Spalted Wood,skin-54693187ad0f,0.48,0.0,"['crate-4811', 'crate-4837', 'crate-4862', 'crate-4970', 'crate-5123', 'crate-5222']",Industrial Grade,AUG,False,['The 2021 Dust 2 Collection']
AUG | Snake Pit,skin-a169fd0b8b16,0.55,0.0,"['crate-4882', 'crate-4895', 'crate-4928', 'crate-4969', 'crate-5122']",Consumer Grade,AUG,False,['The Anubis Collection']
AUG | Wings,skin-b4a128e52d9e,0.14,0.0,['crate-4001'],Mil-Spec Grade,AUG,True,['The Arms Deal Collection']
AUG | Commando Company,skin-5dea0b69d286,0.65,0.0,[],Consumer Grade,AUG,False,['The Boreal Collection']
AUG | Navy Murano,skin-0ddb388d79ff,1.0,0.0,[],Consumer Grade,AUG,False,['The Canals Collection']
AUG | Bengal Tiger,skin-571dcb1f6c86,0.8,0.06,['crate-4019'],Classified,AUG,True,['The eSports 2014 Summer Collection']
AUG | Contractor,skin-b01bdbd2c238,0.8,0.06,"['crate-4006', 'crate-4013']",Consumer Grade,AUG,False,['The Italy Collection']
AUG | Colony,skin-758678f3176d,0.8,0.06,"['crate-4006', 'crate-4013', 'crate-4024', 'crate-4033', 'crate-4081', 'crate-4132', 'crate-4177', 'crate-4226', 'crate-4275', 'crate-4345', 'crate-4397', 'crate-4464', 'crate-4541', 'crate-4591', 'crate-4661']",Consumer Grade,AUG,False,['The Mirage Collection']
AUG | Storm,skin-3f6a1c06a5b1,0.8,0.06,"['crate-4006', 'crate-4013']",Consumer Grade,AUG,False,['The Lake Collection']
AUG | Creep,skin-784a6c99447c,0.8,0.0,[],Mil-Spec Grade,AUG,False,['The Achroma Collection']
AUG | Daedalus,skin-bcf0f362fd01,0.55,0.0,[],Consumer Grade,AUG,False,['The Gods and Monsters Collection']
AUG | Condemned,skin-64d604ccd5cf,0.8,0.06,"['crate-4006', 'crate-4013']",Industrial Grade,AUG,False,['The Safehouse Collection']
AUG | Sweeper,skin-5430f34eb2d8,0.6000000000000001,0.0,"['crate-4540', 'crate-4590', 'crate-4660', 'crate-4809', 'crate-4835', 'crate-4860', 'crate-4893', 'crate-4926', 'crate-4967', 'crate-5120', 'crate-5219']",Consumer Grade,AUG,False,['The 2018 Inferno Collection']
AUG | Radiation Hazard,skin-93c8fbff4fb5,0.55,0.0,"['crate-4026', 'crate-4035', 'crate-4083', 'crate-4136', 'crate-4181', 'crate-4230', 'crate-4278', 'crate-4348', 'crate-4400', 'crate-4467', 'crate-4544', 'crate-4594']",Industrial Grade,AUG,False,['The Cache Collection']
AWP | Fade,skin-8fbcba8495ae,0.08,0.0,[],Covert,AWP,False,['The Control Collection']
AWP | Man-o'-war,skin-67b936c9cb52,0.2,0.1,['crate-4061'],Covert,AWP,True,['The Chroma Collection']
AWP | PAW,skin-860a0652d07a,0.5,0.0,['crate-4482'],Restricted,AWP,True,['The Horizon Collection']
AWP | Graphite,skin-278adf18c50e,0.12,0.0,['crate-4003'],Classified,AWP,True,['The Bravo Collection']
AWP | Lightning Strike,skin-69390026d135,0.08,0.0,['crate-4001'],Covert,AWP,True,['The Arms Deal Collection']
AWP | Silk Tiger,skin-584e1dbd3391,0.6000000000000001,0.0,[],Classified,AWP,False,['The Havoc Collection']
AWP | Worm God,skin-c97e27944006,0.45,0.0,['crate-4089'],Restricted,AWP,True,['The Chroma 2 Collection']
AWP | Ice Coaled,skin-a5be0877a3d7,1.0,0.0,['crate-5176'],Classified,AWP,True,['The Genesis Collection']
AWP | LongDog,skin-42c6a7e245d3,1.0,0.0,"['crate-5126', 'crate-5225']",Covert,AWP,False,['The Train 2025 Collection']
AWP | Printstream,skin-5a39103af835,1.0,0.0,['crate-7007'],Covert,AWP,True,['The Fever Collection']
AWP | Chrome Cannon,skin-b986a2456e28,1.0,0.0,['crate-4904'],Covert,AWP,True,['The Kilowatt Collection']
AWP | Asiimov,skin-bb633c21fc25,1.0,0.18,['crate-4011'],Covert,AWP,True,['The Phoenix Collection']
AWP | Chromatic Aberration,skin-3a4cc2c7a86f,0.7000000000000001,0.0,['crate-4846'],Covert,AWP,True,['The Recoil Collection']
